Comment,Polarity,Subjectivity,Channel
Evil protester,-1.0,1.0,Guardian News
Refreshing to see people with sensible demand expressing their opinions in the appropriate place,0.5,0.75,Guardian News
Only a matter of time now before the assassinations begin,0.0,1.0,Guardian News
The amount of security they had to hide behind says a lot about how cowardly they are,-0.4,0.7,Guardian News
This is the way to protest not damaging art,0.0,0.0,Guardian News
Wow i am buying more shell shares thank you very much,0.2866666666666667,0.5866666666666667,Guardian News
The world is basically a sphere in space held by gavational forces What if the oil and gas we dig out work is a balance system for the planet just a random thought,-0.5,0.5,Guardian News
The most evil corporation in the world BUT IN THE LOOSE they SHOULD be JAILED,-0.1923076923076923,0.5897435897435898,Guardian News
Man these people are so cringy as they drive home after,0.0,0.0,Guardian News
Huh it rhymes,0.0,0.0,Guardian News
lotta white people with nothing to do,0.0,0.0,Guardian News
And these protestors go to another place either in their ICE cars or airplanes which use fuel What a joke,0.0,0.0,Guardian News
Do any of these climate hysterics live a fossil fuels free lifestyle,0.2681818181818182,0.65,Guardian News
Yes and so should shells shareholders too sheer greed nothing more nothing less,0.11111111111111112,0.4388888888888889,Guardian News
Hilarious,0.5,1.0,Guardian News
These oil companies are directly harming the working class far more than any protest could Any of you naysayers had a look at your bills recently,0.175,0.5375,Guardian News
Shell deserves it the people that run that place are actual demons and the board are some of the worst people,-0.5,0.55,Guardian News
Lots of people I don 39 t like fighting with each other Great news,0.3375,0.5625,Guardian News
SECURITY Who let all this RIFF RAFF into the room,0.0,0.0,Guardian News
Brilliant to see these protests These oil companies are truly evil If I define evil as knowing that your activities have already led to deaths will continue to cause rapidly increasing death the continuation of covering up that the activities are causing death the ignoring and covering of evidence that earth systems are beginning break down Using more and more PR and propagandists to hide an inability to change Buying up governments the media Evil evil evil It 39 s about time these people were dragged from their desk chairs and thrown to the wolves,-0.3617283950617284,0.8098765432098766,Guardian News
Excellent,1.0,1.0,Guardian News
UK seems to be a failed society,-0.5,0.3,Guardian News
DEEP,0.0,0.4,Guardian News
Cool the Execs should be afraid while waiting for their trials br br The rope waits,-0.125,0.775,Guardian News
Ok this I like to see Not faffing about blocking trains and roads Target the disruption at those responsible,0.35,0.525,Guardian News
I hope all these climate protests would just stop buying cars and consider walking or bike cycling This event honestly proves they care about their environment and sell their shares in the Company Shell,0.3,0.0,Guardian News
The road ready freddies,0.2,0.5,Guardian News
Evil corporations,-1.0,1.0,Guardian News
Whether you 39 re for or against their cause this is a MUCH BETTER form of protest br br LEAVE the WORKING PEOPLE out of it,0.5,0.5,Guardian News
,0.0,0.0,Guardian News
Super soaker squirt gun filled with liquefied cow manure works very well seen it done here in my city Oddly enough people run away when covered in,0.16,0.5066666666666666,The Mirror
What 39 s wrong with you people Why hasn 39 t someone knock some sense into these idiots,-0.65,0.8500000000000001,The Mirror
all fun and games until one bystander starts throwing fists,0.3,0.2,The Mirror
Funny when you think about how much freedom these idiots are allowed Sadiq Khan what are you up to what 39 s the hidden agenda,-0.12916666666666668,0.5833333333333334,The Mirror
May i suggest orange gloss oil based paint with just a hint industrial adhesive,0.0,0.0,The Mirror
Why don 39 t more people help to drag these self righteous twats away,0.2,0.28541666666666665,The Mirror
Yeah this really helps br Come on the world is saved already we all use paper straws,0.2,0.2,The Mirror
Zero tolerance Physically remove them and not in pleasant manner,0.36666666666666664,0.5547619047619048,The Mirror
They should go to prison,0.0,0.0,The Mirror
Gas prices will go up diesel fuel too inflation is coming be ready,0.2,0.5,The Mirror
How many of the protesters work for the Home Office It s happened before To divide you all,0.5,0.5,The Mirror
There s no such thing as fossil fuels This is a made up term to make you believe that we are running out back in the early 70 s Do your research,0.03333333333333333,0.26666666666666666,The Mirror
Just give them a whoopen they will not forget,0.0,0.0,The Mirror
Who will be held accountable when someone dies because of this madness,0.0,0.0,The Mirror
Oh that TWAT of a blond woman quot defending quot these nut jobs Gross,0.0,0.0,The Mirror
Piss on them,0.0,0.0,The Mirror
If anyone protests like this in non western countries he is ending up in hospital or in his grave,0.0,0.0,The Mirror
They are experts in passive aggression JSO pretenders,0.0,0.0,The Mirror
THIS is why GB is turning into a shithole They think they can just yell at them drag them away amp let them crawl back amp somehow this accomplishes something In the U S they get run over amp guess what there 39 s a LOT fewer of these people obstructing traffic,-0.05,0.035416666666666666,The Mirror
Get a rope,0.0,0.0,The Mirror
Narcissists doing what they do best,1.0,0.3,The Mirror
Honestly these people are really lucky that people in those cars aren 39 t having a really bad day,0.07777777777777783,0.7999999999999999,The Mirror
The thing is they are trained for all those situations br There must happen something very unexpected,0.13,1.0,The Mirror
Take their stuff and throw it next time,0.0,0.0,The Mirror
install the protective bumpers on the front of the car then you have dinner,0.0,0.0,The Mirror
Schlagt sie vorn N schel das sie klar im Kopf werden diese drecks Assis,0.0,0.0,The Mirror
Gay not existing in world,0.4166666666666667,0.5833333333333334,The Mirror
Get a snow plow to clear the street,0.10000000000000002,0.3833333333333333,The Mirror
Scumbags alert,0.0,0.0,The Mirror
To the activist Get rid of your smart phones and gadgets if you care about the worlds as you say you do,0.21428571428571427,0.6428571428571429,The Mirror
I just wish that everyone had got out of their cars to move these twats,0.0,0.0,The Mirror
See the police are hiding under the desk again,0.0,0.0,The Mirror
Posh toffs preventing people from doing proper work,0.0,0.1,The Mirror
I would be the guy that does a hit and run,0.0,0.0,The Mirror
They are scumbags,0.0,0.0,The Mirror
They need the shit kicked l out of them its going to far people have a right to get to work and get to where they wont to go without these idiot 39 s stopping them and the police are not worth the money they get they do nothing,-0.15285714285714286,0.6471428571428572,The Mirror
IDIOTS,-0.8,0.8,The Mirror
imagine your on a ambulance about to die from an accident and your about to go to yhe hospital but hese dumabasses blocks the way,0.0,0.0,The Mirror
Everyone there should have helped drag these pricks off the road,-0.1,0.07083333333333333,The Mirror
